매장명,구,주소,위도,경도
스타벅스강남구청역,강남구,"서울특별시 강남구 선릉로 669, 웰빙센터 1층 (논현동)",37.5165849,127.04124330000002
스타벅스대치역,강남구,서울특별시 강남구 남부순환로 2936 (대치동) 107호,37.493554,127.061874
스타벅스포이,강남구,서울특별시 강남구 논현로 88 (개포동),37.47781106,127.0451411
스타벅스아크플레이스,강남구,서울특별시 강남구 테헤란로 142 (역삼동),37.49971982,127.0349084
스타벅스학여울역,강남구,서울특별시 강남구 영동대로 215 (대치동),37.49803646,127.0684943
스타벅스선정릉역,강남구,서울특별시 강남구 봉은사로 407 (삼성동) 에프오빌딩,37.51075489999999,127.04455970000004
스타벅스삼성현대힐,강남구,서울특별시 강남구 삼성로 605 (삼성동),37.51350444312708,127.05273753314826
스타벅스GS타워,강남구,서울특별시 강남구 논현로 508 (역삼동),37.5018592,127.03727759999992
스타벅스압구정미소,강남구,서울특별시 강남구 논현로 841 (신사동),37.523912710310015,127.02807214378778
스타벅스선릉역,강남구,"서울특별시 강남구 테헤란로 334, LG화재 빌딩 (역삼동)",37.50393894,127.0485135
스타벅스코엑스사거리,강남구,서울특별시 강남구 영동대로 616 (삼성동),37.515351,127.060109
스타벅스역삼럭키,강남구,서울특별시 강남구 도곡로 183 (역삼동),37.492209,127.039389
스타벅스신압구정,강남구,서울특별시 강남구 언주로174길 29 (신사동),37.528115,127.036441
스타벅스아크로힐스논현,강남구,"서울특별시 강남구 봉은사로 304, 금강빌딩 1-2층 (역삼동)",37.509013311862645,127.0403523996554
스타벅스강남비젼타워,강남구,"서울특별시 강남구 테헤란로2길 27, 1층 101호 (역삼동)",37.4964557,127.02968850000002
스타벅스압구정로데오역,강남구,"서울특별시 강남구 선릉로 836, 삼원빌딩 1,2층 (청담동)",37.526549,127.040437
스타벅스르네상스사거리,강남구,서울특별시 강남구 테헤란로 306 (역삼동),37.502721,127.044308
스타벅스포스코,강남구,"서울특별시 강남구 삼성로86길 7, 1층 (대치동)",37.50576457783876,127.05804488086115
스타벅스선릉로,강남구,"서울특별시 강남구 선릉로93길 22, 대흥빌딩 1층 (역삼동)",37.50498118534617,127.0468080752464
스타벅스논현힐탑,강남구,서울특별시 강남구 논현로 648 (논현동),37.51159269029387,127.03219311069766
스타벅스도산가로수길,강남구,"서울특별시 강남구 도산대로 134, 2층 (논현동)",37.51736229999999,127.02329570000006
스타벅스매봉역,강남구,서울특별시 강남구 남부순환로 2736 (도곡동),37.4859095,127.0452879
스타벅스대치한티,강남구,서울특별시 강남구 선릉로 324 (대치동),37.4984818,127.052066
스타벅스개포동,강남구,서울특별시 강남구 선릉로 34 (개포동),37.4828551359882,127.0607152444621
스타벅스수서역사거리,강남구,서울특별시 강남구 광평로 280 (수서동),37.4873267937748,127.103140081887
